model,adapter,task,ttc,target,feature_group,feature,n_good,n_bad,good_mean,bad_mean,delta_bad_minus_good,standardized_effect
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,entropy,reasoning_entropy_mean,88,2,0.38857612294670213,0.32441667402599705,-0.06415944892070508,-0.2322787593051302
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,entropy,action_entropy_mean,88,2,0.13198925257918034,0.04118236821523165,-0.0908068843639487,-0.5621399648166793
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,entropy,reasoning_entropy_late_slope,80,2,0.17321976322295812,0.20014673916739406,0.026926975944435938,0.06572787620732769
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,entropy,reasoning_entropy_late_change,88,2,-0.6500378071620854,-0.6431952193379402,0.006842587824145152,0.011841465378444369
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,entropy,action_entropy_late_slope,80,2,0.006540662523457261,0.043183527974178945,0.036642865450721686,0.19044740507639848
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,entropy,action_entropy_late_change,88,2,-0.22267115585484795,-0.0657030716538429,0.15696808420100505,0.5049309691185248
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,reasoning_p_hack,88,2,0.07651383089983908,0.0389263041000731,-0.037587526799765986,-0.9105921822349726
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,action_p_hack,88,2,0.12662116078550764,0.11402467591688036,-0.012596484868627286,-0.19802104621072356
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,reasoning_p_hack_late_slope,80,2,-0.013008736177012365,-0.01189375704185135,0.0011149791351610146,0.054873418898754536
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,reasoning_p_hack_late_change,88,2,0.04628516002523499,0.0389210794372729,-0.007364080587962091,-0.08133577555820282
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,action_p_hack_late_slope,80,2,-0.019806233947334183,-0.0314653532889982,-0.011659119341664019,-0.34098586713813717
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,action_p_hack_late_change,88,2,0.014967832078976135,0.005294505041092655,-0.00967332703788348,-0.08100488147327274
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,reasoning_entropy_mean,88,2,0.38857612294670213,0.32441667402599705,-0.06415944892070508,-0.2322787593051302
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,action_entropy_mean,88,2,0.13198925257918034,0.04118236821523165,-0.0908068843639487,-0.5621399648166793
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,reasoning_entropy_late_slope,80,2,0.17321976322295812,0.20014673916739406,0.026926975944435938,0.06572787620732769
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,reasoning_entropy_late_change,88,2,-0.6500378071620854,-0.6431952193379402,0.006842587824145152,0.011841465378444369
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,action_entropy_late_slope,80,2,0.006540662523457261,0.043183527974178945,0.036642865450721686,0.19044740507639848
FalconControl,control,pick_and_place_simple,8.0,easy_grader_action,all,action_entropy_late_change,88,2,-0.22267115585484795,-0.0657030716538429,0.15696808420100505,0.5049309691185248
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,mean_phack,reasoning_p_hack,88,2,0.07507207462478592,0.10236358020241215,0.027291505577626232,0.6611616601644384
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,mean_phack,action_p_hack,88,2,0.12402534384111345,0.2282406214702253,0.10421527762911185,1.6382997735071043
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,late_phack,reasoning_p_hack_late_slope,80,2,-0.01229991139355831,-0.04024674838001365,-0.027946836986455344,-1.3753965832118573
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,late_phack,reasoning_p_hack_late_change,88,2,0.04497688009854358,0.0964853962116952,0.051508516113151624,0.5689081014083194
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,late_phack,action_p_hack_late_slope,80,2,-0.018333731412784812,-0.0903654546709731,-0.07203172325818828,-2.1066599369024157
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,late_phack,action_p_hack_late_change,88,2,0.01640934954895026,-0.0581322636377687,-0.07454161318671897,-0.6242148660299898
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,entropy,reasoning_entropy_mean,88,2,0.39067768569657724,0.2319479130314903,-0.15872977266508695,-0.5746551019320474
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,entropy,action_entropy_mean,88,2,0.13240310968872473,0.022972655395278648,-0.10943045429344608,-0.6774291636286248
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,entropy,reasoning_entropy_late_slope,80,2,0.17394839671112367,0.1710013996407724,-0.0029469970703512594,-0.007193524405529473
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,entropy,reasoning_entropy_late_change,88,2,-0.6554331617804884,-0.40579961612820625,0.24963354565228213,0.43200424519346364
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,entropy,action_entropy_late_slope,80,2,0.006673768166638158,0.03785930224694305,0.03118553408030489,0.16208350434555555
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,entropy,action_entropy_late_change,88,2,-0.22446753035447645,0.01333740632981055,0.23780493668428698,0.7649649146982302
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,reasoning_p_hack,88,2,0.07507207462478592,0.10236358020241215,0.027291505577626232,0.6611616601644384
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,action_p_hack,88,2,0.12402534384111345,0.2282406214702253,0.10421527762911185,1.6382997735071043
